claim_id,claim_text,source_artifacts,current_status,reason,replacement_wording,remaining_gate
C001,Torch is usually the tightest,old first-order/common-contract/deep-study/final formal reports,withdrawn_do_not_cite,backend and bound comparability were not established and the headline formal Flowstar rows used a behavior-changing audit patch,No cross-tool tightness ranking is currently citable,all eight cross-tool gates
C002,Torch is definitely tighter than Flowstar on coupled quadratic,consolidation formal 20260730T153654Z,withdrawn_do_not_cite,the Flowstar row was produced by patched-audit and nominal order/basis equality is not established,No coupled-quadratic cross-tool winner claim is currently supported,stock identity plus order/basis/exporter parity
C003,The old 12-point Pareto/winner is authoritative,consolidation formal 20260730T153654Z and earlier Pareto artifacts,withdrawn_do_not_cite,the comparison includes patched backend semantics and superseded comparability assumptions,Do not cite any current cross-tool Pareto or winner table,all eight cross-tool gates and a new independently audited run
C004,The old cross-tool runtime/tightness ranking is valid,first-order/deep-study/consolidation reports,withdrawn_do_not_cite,runtime boundaries and bound semantics were not consistently matched and patched rows were primary,No current cross-tool runtime/tightness ranking is supported,runtime boundary parity plus all semantic gates
C005,Flowstar order 2 crashes,order-2 traces and historical reports,withdrawn_do_not_cite,the process reaches Picard/remainder validation and rejects the candidate at the configured step-size floor,Order 2 is rejected by remainder self-map validation in the tested configuration; this is not a process crash,none for the diagnostic wording
C006,Flowstar does not support order 2,order-2 traces and historical reports,withdrawn_do_not_cite,a fixed h=0.001 tested step validates,The tested order-2 configuration fails validation at its step-size floor; this does not establish unsupported order,full-horizon behavior remains unresolved
C007,290 of 290 Flowstar segments proves three-tool comparability,order-4 official/generated parity and old three-tool reports,withdrawn_do_not_cite,the parity artifact proves Flowstar route agreement for segment boxes only and exposes no comparable final endpoint,Order-4 official/generated segment-box parity is a supported diagnostic only,endpoint exporter and field-level three-tool contract
C008,Patched Flowstar is equivalent to official Flowstar,deep-study and consolidation formal artifacts,withdrawn_do_not_cite,FLOWSTAR_AUDIT_CACHE_LEAF_TRUNCATION changes remainder/enclosure and may change acceptance,Patched-audit is diagnostic-only and primary_eligible=false,none
C009,Artifact completeness proves protocol correctness,deep-study and consolidation audit reports,withdrawn_do_not_cite,file/schema/checksum completeness cannot prove backend or scientific contract correctness,Artifact integrity is necessary but not sufficient for a scientific claim,independent semantic and backend audit
C010,Torch order is the requested total-degree cutoff and retained degree may be lower,src/torch_tm_flowpipe polynomial/Taylor-model code and tests,supported_internal,truncation applies a requested cutoff while zero/absent terms can lower effective degree,Torch order means requested total-degree cutoff; effective retained degree is separately reported,explicit effective-degree fields in every future comparison row
C011,range_only loses cross-step dependency,src/torch_tm_flowpipe/flowpipe.py and tests,supported_internal,the carried set is evaluated to a box before the next step,range_only collapses the carried set to a box and loses cross-step dependency,none
C012,dependency_preserving can still be wider,src/torch_tm_flowpipe/flowpipe.py and diagnostic tests,supported_internal,it carries structure but range evaluation term growth reset and remainder propagation can widen the enclosure,dependency_preserving retains polynomial structure but is not guaranteed tighter,none
C013,Endpoint accepted-segment and full-tube ranges are distinct,protocol schema and historical parity artifacts,supported_internal,their source objects and meanings differ and Flowstar parity has no endpoint box,Report endpoint accepted-segment and full-tube fields separately,external exporter parity
C014,Raw and tightened endpoints are distinct,protocol schema eligibility and endpoint audit fixtures,supported_internal,tightening/refinement changes semantics and primary eligibility requires raw endpoint,Report raw and tightened endpoints in separate fields,external exporter parity
C015,Equal nominal order implies equal work/basis,matched-basis artifacts and protocol config identity,withdrawn_do_not_cite,tools retain different bases and effective degrees,Nominal order alone does not imply matched basis or computational work,order/basis contract
C016,Sampling containment is formal proof,sampling fixtures and trajectory checks,withdrawn_do_not_cite,sampling cannot prove enclosure for unsampled states/times,Sampling containment is sanity/regression evidence only,formal validation contract
C017,Official parser generated stock harness and patched audit are the same object,parity and audit artifacts,withdrawn_do_not_cite,they are distinct programs/builds and the patch changes behavior,Keep official-program generated-stock and patched-audit identities separate,field-level parser/generated parity for each intended configuration
C018,Current order-2 Van der Pol diagnosis,order2_vanderpol_step_trace_current,supported_diagnostic,at h=0.003125 x validates while y Picard image exceeds the target and nonlinear multiplication remainder dominates,The tested stock-style path rejects order 2 by remainder self-map validation at the configured floor; h=0.001 validates for the tested step only,full-horizon completion parser/generated matched config derivative-call provenance and clean-upstream reproduction
