source_id,path_mode,source_file,symbol_or_operation,exact_real_quantity,retained_binary64,error_enclosure_method,range_domain,insertion_point,charge_count,parity_policy,oracle_or_test,status
ELEMENTWISE_INTERVAL_ENDPOINTS,dense_and_sparse,src/flowstar_gpu/interval.py,"add; sub; mul; div; sum; dot_point_iv",Exact endpoint arithmetic induced by binary64 interval inputs,RN endpoint/reduction,"nextDown/nextUp or Rump dot_error_bound; finite and m*u guards",interval endpoint domain,primitive output interval,once,Same outward interval primitive,"Fraction D1/D2; interval properties",MAPPED_AND_TESTED
DENSE_MONOMIAL_CONVOLUTION,dense,src/flowstar_gpu/polynomial.py,mul_point_spatial_with_roundoff,Exact coefficient convolution of binary64 polynomial operands,Bit-identical mul_point_spatial point coefficient,"degenerate interval convolution minus retained point coefficient",actual complete normalized spatial basis,composition image-node ordinary remainder,once,Point coefficient kept without added strict radius,"Fraction dense convolution mixed-sign/tie/subnormal/overflow tests",MAPPED_AND_TESTED
SPARSE_MONOMIAL_CONVOLUTION,sparse,src/flowstar_gpu/support.py,mul_point_s_with_roundoff,Exact supported coefficient convolution of binary64 operands,Bit-identical mul_point_s point coefficient,"outward sparse interval convolution minus retained point coefficient",actual sparse output support,compose_s image-node ordinary remainder,once,Point coefficient kept without added strict radius,"Fraction sparse embedding and convolution tests",MAPPED_AND_TESTED
DENSE_COMPOSITION_CONTRACTION,dense,src/flowstar_gpu/composition.py,"einsum bim,bmt->bit",Exact contraction of outer coefficients with monomial images,torch.einsum point coefficient,Rump dot_error_bound over Ts then support range,actual complete normalized spatial basis,composed ordinary remainder,once,No coefficient inflation,"exact coefficient/range containment tests",MAPPED_AND_TESTED
SPARSE_COMPOSITION_CONTRACTION,sparse,src/flowstar_gpu/sparse_exec.py,"einsum bim,bmt->bit",Exact contraction on the needed sparse members,torch.einsum point coefficient,Rump dot_error_bound over M then sparse support range,actual sparse composition support,composed ordinary remainder,once,No coefficient inflation,"dense-vs-sparse exact/containment tests",MAPPED_AND_TESTED
SYMBOLIC_PHI_FACTOR,dense_and_sparse,src/flowstar_gpu/flowpipe.py; src/flowstar_gpu/sparse_exec.py,lin_a times symbolic scalar,Exact product of point linear coefficient and exact-enclosing scalar,Point phi_i preserved,"outward interval mul of degenerate lin_a and scalars_iv",matrix coefficient domain,phi_i_iv queue entry,once,Point phi_i only,"Fraction minimized Phi witness and sizes 1--3",MAPPED_AND_TESTED
SYMBOLIC_PHI_QUEUE_PRODUCT,dense_and_sparse,src/flowstar_gpu/symbolic_remainder.py,_matmul_iv in propagate,Exact product of the new Phi with every live historical Phi,torch.einsum point phi_buf retained for parity,"outward interval products and interval sum for every matrix entry",matrix coefficient domain,phi_iv_buf replacement,once per queue update,Point einsum only,"Fraction sizes 1--3; queue 1/2/capacity-1/capacity/reset",MAPPED_AND_TESTED
SYMBOLIC_PHI_J_RECONSTRUCTION,dense_and_sparse,src/flowstar_gpu/symbolic_remainder.py,strict propagate reconstruction,Exact sum of each interval Phi image of historical J,Parity uses point Phi times interval J,"outward interval multiply; inner and queue interval sums",ordinary state remainder domain,j_lin returned to current ordinary remainder,once,Point Phi reconstruction,"minimized concrete under-enclosure witness; reset boundary tests",MAPPED_AND_TESTED
SR_LINEAR_POLYNOMIAL_IMAGE,dense_and_sparse,src/flowstar_gpu/flowpipe.py; src/flowstar_gpu/sparse_exec.py,"linear einsum plus comp_c add",Exact linear polynomial image plus nonlinear composition polynomial,torch.einsum and binary64 addition,"Rump inner-product radius plus outward interval add defect",actual dense or sparse spatial basis,current ordinary remainder,once,No coefficient inflation,"strict source accounting and dense/sparse tests",MAPPED_AND_TESTED
RECIPROCAL_PRECONDITION_SCALE,dense_and_sparse,src/flowstar_gpu/flowpipe.py; src/flowstar_gpu/sparse_exec.py,reciprocal scale and coefficient multiply,Exact scaling by reciprocal enclosure,Point reciprocal and point coefficient scaling,"outward reciprocal/multiply minus retained point coefficient",actual dense or sparse spatial basis,scaled ordinary remainder,once,Point scale of ordinary remainder,"near-overflow/nonfinite/zero-dimension adversarial tests",MAPPED_AND_TESTED
