claim_id,paper_section,theorem_or_assumption,mathematical_hypotheses,source_file,symbol_or_function,kernel_or_operation,runtime_assertion,unit_test,oracle,status,gap
FP_ELEMENTWISE_OUTWARD,3 / Floating-point soundness without directed rounding,Proposition bg-outward; engine text preceding Assumption libulp,binary64 correctly rounded operation; finite inputs/result; gradual underflow,src/flowstar_gpu/rounding.py; src/flowstar_gpu/interval.py; src/flowstar_gpu/transcendental.py; src/flowstar_gpu/cuda_kernels.py,"next_up,next_down; add,sub,mul,div; sqrt_iv; iv_* CUDA kernels",RN+nextafter CPU fallback or directed __dadd/__dmul CUDA endpoints,dtype f64 guards; division bad mask; no general finite-output guard at primitive boundary,tests/properties/test_interval_props.py; tests/properties/test_transcendental_props.py; tests/unit/test_cuda_kernels.py; huan_proof_kernel_audit.py D1,Fraction exact endpoints and mpmath sqrt,MAPPED_AND_TESTED,"overflow returns an extended interval; fail-closed status is supplied only by division or downstream contraction, not every primitive"
FP_NO_FTZ_STARTUP,3 / Floating-point soundness without directed rounding,equation engine-fpmodel startup condition,float64 subnormals are preserved by every deployed path,src/flowstar_gpu/determinism.py; tests/unit/test_denormal_ftz.py,enable_determinism; denormal tests,startup and CUDA float64 arithmetic,none in production startup,tests/unit/test_denormal_ftz.py; huan_proof_kernel_audit.py no_ftz,smallest-subnormal identities,CONTRADICTED,paper says the engine asserts no-FTZ at startup; source only tests it out of band
FP_OVERFLOW_DIVZERO_FAIL_CLOSED,3 / Floating-point soundness without directed rounding,finite-intermediate hypotheses and fail-closed prose,finite inputs; denominator excludes zero and reciprocal remains finite,src/flowstar_gpu/interval.py; src/flowstar_gpu/flowpipe.py,"rec,div,assert_valid; _validate_and_refine",reciprocal-then-multiply; contraction predicate,division returns bad mask; contraction rejects non-contained extended results,tests/properties/test_interval_props.py; huan_proof_kernel_audit.py D1,exact extended-real enclosure and explicit bad-mask checks,PARTIALLY_MAPPED,division is explicit; generic overflow is not converted to a primitive status and assert_valid permits infinity
FP_ANY_ORDER_REDUCTION,3 / Theorem engine-fpsum and Corollary engine-order,Theorem 3.5 any-order inflated reductions,finite intermediates; binary64 RN/FMA; m*u <= 1/4; no FTZ,src/flowstar_gpu/rounding.py; src/flowstar_gpu/interval.py,dot_error_bound; sum; dot_point_iv,RN reductions plus symmetric a-priori inflation,m*U < 0.25 checked for int and tensor lengths,tests/properties/test_rounding_props.py; huan_proof_kernel_audit.py D2,"Fraction exact dot across sequential,pairwise,permuted,chunked,FMA,Torch schedules",MAPPED_AND_TESTED,the theorem does not cover overflowing intermediates; fused directed CUDA interval kernels bypass this inflation
FP_COMPUTABLE_INFLATION,3 / Remark engine-computable,computable inflation of the absolute-product sum,m < 2^51; finite RN absolute reduction; gradual underflow,src/flowstar_gpu/rounding.py,sum_error_bound; dot_error_bound,(2m-1)u(1+2mu)*abs_dot_rn + m*eta with next_up,reduction length and f64 checked; abs_dot finiteness not checked,tests/properties/test_rounding_props.py; huan_proof_kernel_audit.py D2,Fraction exact error versus the shipped computed bound,MAPPED_AND_TESTED,an overflowing absolute reduction yields a non-finite bound rather than an explicit status
STRICT_VERSUS_PARITY,3 / Remark engine-repro,strict charges point-coefficient roundoff; parity adopts Flow* trust model,every retained point-coefficient reduction error is ranged into the remainder in strict mode,src/flowstar_gpu/config.py; src/flowstar_gpu/composition.py; src/flowstar_gpu/flowpipe.py; src/flowstar_gpu/symbolic_remainder.py,Settings.mode; compose(strict); _validate_and_refine; propagate,composition GEMM inflation and validated point-vs-interval defect,mode enum only,tests/unit/test_composition.py; tests/unit/test_sparse_exec.py,strict remainder superset of parity plus source-path accounting audit,CONTRADICTED,strict does not charge symbolic Phi einsums and does not visibly charge retained monomial-image point-product roundoff
LANE_CERT_MASK_FREEZE_RETRY_REFINE,3 / Batched flowpipe construction,per-lane contraction certificates and member-separable pinned regions,each accepted lane has its own closed subset check,src/flowstar_gpu/flowpipe.py; src/flowstar_gpu/sparse_exec.py,_validate_and_refine; advance; advance_adaptive; refine_loop,"per-lane masks, torch.where freeze, halving retries",status and ok/bad masks,tests/unit/test_flowpipe.py; tests/unit/test_sparse_exec.py; tests/adversarial/test_batch_invariance.py,solo-vs-batch bit equality inside pinned paths and explicit status transitions,MAPPED_AND_TESTED,bitwise claims remain conditional on the fused/fixed-reduction path
REFINE_FIRST_MAP_NOT_RESCUED,3 / Batched flowpipe construction,refinement begins only after a successful initial self-map,ok is the initial closed subset certificate,src/flowstar_gpu/flowpipe.py,_validate_and_refine; refine_loop,refining = ok.clone(),none beyond the ok mask,tests/unit/test_flowpipe.py; tests/unit/test_tape_kernels.py; audit refinement control tests,call-count and state-freeze assertions,MAPPED_AND_TESTED,no public refinement ledger records every proposal/commit
SPARSE_SUPPORT_SUPERSET,3 / Proposition engine-support,declared support contains every nonzero coefficient,support identifiers sorted; constant id 0 present; omitted slots are exact zeros,src/flowstar_gpu/support.py; src/flowstar_gpu/sparse_exec.py,Support; make_support; pair_tables; _accum_sups,support-specialized gather/reduction schedules,support constructor invariants,tests/unit/test_sparse_support.py; tests/unit/test_sparse_exec.py; tests/soundness/test_sparse_containment.py,"dense embedding, exact Fraction cases, and direct containment",MAPPED_AND_TESTED,"CUDA dense/sparse point coefficients carry ulp-level, not bitwise, agreement"
MEMBER_CHUNKING_SCOPE,3 / Proposition engine-chunk,all kernels in a claimed region are member-separable,per-member schedule does not depend on batch extent,src/flowstar_gpu/cuda_kernels.py; src/flowstar_gpu/safety.py; src/flowstar_gpu/graphing.py,seg_* kernels; _spatial_images; GraphCache,fixed in-member reductions and member-axis slicing,CUDA kernel availability gates GraphCache; no universal member-separability assertion,tests/unit/test_cuda_kernels.py; tests/unit/test_safety.py::test_spatial_images_member_chunking_is_bitwise_neutral; tests/adversarial/test_batch_invariance.py,B=1 embedded in B>1 and multiple forced chunk sizes,MAPPED_AND_TESTED,fallback torch.segment_reduce is shape-sensitive; the bitwise gate passed only after fused kernels actually built
