category,path,line,excerpt,classification
hard-coded repository paths,README.md,201,cd /srv/local/shengenli/torch_tm_flowpipe,manual_review
hard-coded repository paths,README.md,202,export FLOWSTAR_ROOT=/srv/local/shengenli/flowstar,manual_review
pass,comparisons/flowstar/compare_against_torch_tm.py,647,pass,manual_review
NaN/Inf coercion,comparisons/flowstar/compare_against_torch_tm.py,604,if math.isfinite(x):,manual_review
silent fallback,comparisons/flowstar/compare_against_torch_tm.py,606,"except (TypeError, ValueError):",manual_review
NaN/Inf coercion,comparisons/flowstar/export_flowstar_model.py,37,if math.isfinite(val):,manual_review
NaN/Inf coercion,comparisons/flowstar/summarize_comparison.py,37,if math.isfinite(x):,manual_review
NaN/Inf coercion,comparisons/flowstar/summarize_comparison.py,54,if x is None or not math.isfinite(x):,manual_review
silent fallback,comparisons/flowstar/summarize_comparison.py,39,"except (TypeError, ValueError):",manual_review
hard-coded repository paths,docs/flowstar_accepted_step_trace_plan.md,5,"The probe links against `/srv/local/shengenli/flowstar/flowstar-toolbox/libflowstar.a` and mirrors the local Van der Pol adaptive symbolic-remainder step path with original Flow* settings: adaptive step `0.002..0.1`, order `4`, cutoff `1e-1",manual_review
hard-coded repository paths,docs/flowstar_adaptive_step_policy_audit.md,7,- `/srv/local/shengenli/flowstar/flowstar-toolbox/include.h` defines `LAMBDA_DOWN` as `0.5` and `LAMBDA_UP` as `1.1`.,manual_review
hard-coded repository paths,docs/flowstar_adaptive_step_policy_audit.md,8,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp` shrinks a rejected candidate step by `current_step * LAMBDA_DOWN`, then stops if the new step is below `step_min`.",manual_review
hard-coded repository paths,docs/flowstar_benchmark_parity.md,7,- Original Flow*: `/srv/local/shengenli/flowstar/benchmarks/continuous/vanderpol/vanderpol.cpp`,manual_review
hard-coded repository paths,docs/flowstar_benchmark_parity.md,20,- `/srv/local/shengenli/flowstar/images/benchmarks/vanderpol_t_x.png`,manual_review
hard-coded repository paths,docs/flowstar_benchmark_parity.md,21,- `/srv/local/shengenli/flowstar/images/benchmarks/vanderpol_t_y.png`,manual_review
hard-coded repository paths,docs/flowstar_horner_insertion_source_map.md,7,- `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h`,manual_review
hard-coded repository paths,docs/flowstar_horner_insertion_source_map.md,8,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Polynomial.h`,manual_review
hard-coded repository paths,docs/flowstar_horner_insertion_source_map.md,9,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp`,manual_review
hard-coded repository paths,docs/flowstar_horner_insertion_source_map.md,10,- `/srv/local/shengenli/flowstar/flowstar-toolbox/expression.h`,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,3,Local Flow* source root: `/srv/local/shengenli/flowstar/flowstar-toolbox`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,10,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:59-78` constructs default reachability settings with adaptive step `0.002..0.1`, fixed order `4`, cutoff threshold `[-1e-10, 1e-10]`, and per-variable remainder estimation `[-",manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,11,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:98-121` sets fixed stepsize and order tables.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,12,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:154-184` sets adaptive min/max steps, starts the active step at the max step, and prepares reachability tables for the selected order.",manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,13,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:186-201` stores cutoff threshold and target remainder estimation.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,14,- `/srv/local/shengenli/flowstar/flowstar-toolbox/settings.h:126` and `/srv/local/shengenli/flowstar/flowstar-toolbox/settings.h:153` carry the remainder-estimation field and setter through the Taylor-model settings object.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,14,- `/srv/local/shengenli/flowstar/flowstar-toolbox/settings.h:126` and `/srv/local/shengenli/flowstar/flowstar-toolbox/settings.h:153` carry the remainder-estimation field and setter through the Taylor-model settings object.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,32,- Endpoint evaluation and center extraction happen in `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:857-879` for the fixed-step real-expression advance path.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,33,"- The endpoint constant is removed, then the endpoint is inserted through the previous normalized flowpipe with `insert_ctrunc_normal` at `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:881-890`.",manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,34,"- Endpoint range computation, scaling-factor construction, normalized-domain reset, and `new_x0 = center + S*r0` are in `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:918-951`.",manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,35,"- The same source pattern appears in adaptive stepsize advance at `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1233-1320`, with failed target containment shrinking the active step in `/srv/local/shengenli/flowstar/flowstar",manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,35,"- The same source pattern appears in adaptive stepsize advance at `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1233-1320`, with failed target containment shrinking the active step in `/srv/local/shengenli/flowstar/flowstar",manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,36,- Symbolic-remainder adaptive advance repeats the same preconditioning shape with queue state at `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:3041-3367`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,56,- Horner-form Picard-no-remainder construction is in `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:3556-3577`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,57,- Expression-form Picard-no-remainder construction and assignment are in `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:3677-3701`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,58,- Flow* builds polynomial iterates order-by-order in `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:953-959` and `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1288-1294`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,58,- Flow* builds polynomial iterates order-by-order in `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:953-959` and `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1288-1294`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,75,- Candidate remainders are set to the configured target remainder at `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:963` and `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1345`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,75,- Candidate remainders are set to the configured target remainder at `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:963` and `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1345`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,76,- `Picard_ctrunc_normal` computes the Picard image at `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:969` and `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1301`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,76,- `Picard_ctrunc_normal` computes the Picard image at `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:969` and `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1301`.,manual_review
