artifact_id	required_item	status	evidence	request_from_huan
ENGINE_SOURCE	actual flowstar_gpu source repository including src/flowstar_gpu and build files	MISSING	bounded local discovery found no qualifying engine root	provide repository access or an immutable source archive with a complete SHA256 manifest
ENGINE_HISTORY	flowstar_gpu .git history or immutable archive provenance	MISSING	only the separate CROWN-Reach-GPU repository has Git history	provide full Git history, tags, submodules, remote URL, and target commit
EXACT_CLEAN_STATE	exact clean engine commit used by the target experiment	MISSING	available run records reference only dirty states: 3e12487d10604f5d3fa33e0a22c87acd368d3bc6-dirty, 876db965465c5af10e8c258f8d73833d653fc22e-dirty, d1b67e0bbfe7ee6cbaa774cd5d8f7dbcc27e480f-dirty	identify and export a clean reproduction commit for every claimed result family
DIRTY_PATCHES	complete uncommitted patches for every -dirty run record	MISSING	CROWN-Reach-GPU records retain revision labels but not the engine patches	provide git diff --binary and untracked files for each recorded -dirty state
REPRODUCE_DOC	flowstar_gpu/docs/REPRODUCE.md	MISSING	not present in local discovery or CROWN-Reach-GPU history	provide the exact version used for the recorded campaigns
OPTIMIZATION_DOC	flowstar_gpu/docs/OPTIMIZATION.md	MISSING	not present in local discovery or CROWN-Reach-GPU history	provide the exact version used for the recorded campaigns
PAPER_NOTE	new_crown_reach*.pdf proof note	MISSING	no matching PDF was found by the required bounded discovery	provide the exact PDF and its SHA256 digest
ENGINE_BENCHMARKS	engine benchmark configs, controllers/models, graded specs, and generation scripts	MISSING	records contain absolute /home/huan/projects/flowstar_gpu paths; those files are absent	provide every referenced file with path mapping and SHA256, including the frozen VDP port
DEPENDENCY_LOCK	pinned Flow*, CROWN-Reach, auto_LiRPA, PyTorch/CUDA, compiler, and Python versions	PARTIAL_ONLY	reports mention selected versions, but no engine-owned complete lock or source closure is present	provide lockfiles plus git SHAs, compiler output, pip/conda freeze, and CUDA runtime/driver capture
MACHINE_AND_COMMANDS	exact GPU identity and execution commands for target experiments	PARTIAL_ONLY	reports name Tesla V100-32GB and records retain commands, but exact machine/software capture is absent	provide nvidia-smi -q, lscpu, environment capture, warmup/repetition protocol, and canonical commands
